UKPRN,PROVIDER_NAME,ALIAS,FLAT_NAME_NUMBER,BUILDING_NAME_NUMBER,STREET_NAME,LOCALITY,TOWN,POSTCODE,PRIMARY_CONTACT_POSTCODE,WEBSITE_ADDRESS
10000291,ANGLIA RUSKIN UNIVERSITY,,,,Bishop Hall Lane,,Chelmsford,CM1 1SQ,CM1 1SQ,www.anglia.ac.uk
10007759,ASTON UNIVERSITY,,,,The Aston Triangle,,Birmingham,B4 7ET,B4 7ET,www.aston.ac.uk
10007857,BANGOR UNIVERSITY,,,,College Road,,Bangor,LL57 2DG,LL57 2DG,www.bangor.ac.uk
10000571,BATH SPA UNIVERSITY,,,Newton Park,,Newton St. Loe,Bath,BA2 9BN,BA2 9BN,www.bathspa.ac.uk
10007760,BIRKBECK COLLEGE,"Birkbeck, University Of London",,,Malet Street,,London,WC1E 7HX,WC1E 7HX,www.bbk.ac.uk
10007140,BIRMINGHAM CITY UNIVERSITY,,,,,Perry Barr,Birmingham,B42 2SU,B42 2SU,www.bcu.ac.uk
10007811,BISHOP GROSSETESTE UNIVERSITY COLLEGE LINCOLN,,,,Newport,,Lincoln,LN1 3DY,LN1 3DY,www.bishopg.ac.uk
10000824,BOURNEMOUTH UNIVERSITY,,Poole House,Talbot Campus,Fern Barrow,,Poole,BH12 5BB,BH12 5BB,www.bournemouth.ac.uk
10000961,BRUNEL UNIVERSITY,,,,Kingston Lane,,Uxbridge,UB8 3PH,UB8 3PH,www.brunel.ac.uk
10000975,BUCKINGHAMSHIRE NEW UNIVERSITY,,,High Wycombe Campus,Queen Alexandra Road,,High Wycombe,HP11 2JZ,HP11 2JZ,www.bucks.ac.uk
10001143,CANTERBURY CHRIST CHURCH UNIVERSITY,,,,ST. GEORGES PLACE,,CANTERBURY,CT1 1UT,CT1 1QU,www.canterbury.ac.uk
10007854,CARDIFF METROPOLITAN UNIVERSITY,,PO Box 377,,,Llandaff,Cardiff,CF5 2SG,CF5 2YB,www.cardiffmet.ac.uk
10007814,CARDIFF UNIVERSITY,,,,Park Place,,Cardiff,CF10 3AT,CF10 3AT,www.cardiff.ac.uk
10007816,CENTRAL SCHOOL OF SPEECH AND DRAMA(THE),,,Embassy Theatre 62-64,Eton Avenue,,London,NW3 3HY,NW3 3HY,www.cssd.ac.uk
10004206,COLLEGE OF ST. MARK AND ST. JOHN FOUNDATION (THE),University College Plymouth St Mark & St John,,,DERRIFORD ROAD,,PLYMOUTH,PL6 8BH,PL6 8BH,www.marjon.ac.uk
10007761,COURTAULD INSTITUTE OF ART,,,Somerset House,Strand,,London,WC2R 0RN,WC2R 0RN,www.courtauld.ac.uk
10001726,COVENTRY UNIVERSITY,,,,Priory Street,,Coventry,CV1 5FB,CV1 5FB,www.coventry.ac.uk
10007822,CRANFIELD UNIVERSITY,,,,College Road,Cranfield,Bedford,MK43 0AL,MK43 0AL,www.cranfield.ac.uk
10001883,DE MONTFORT UNIVERSITY,,,,The Gateway,,Leicester,LE1 9BH,LE1 9BH,www.dmu.ac.uk
10007823,EDGE HILL UNIVERSITY,,,,St. Helens Road,,Ormskirk,L39 4QP,L39 4QP,www.edgehill.ac.uk
10007772,EDINBURGH NAPIER UNIVERSITY,,,SIGHTHILL CAMPUS 9,SIGHTHILL COURT,,EDINBURGH,EH11 4BN,EH14 1DJ,www.napier.ac.uk
10007762,GLASGOW CALEDONIAN UNIVERSITY,,,City Campus 70,Cowcaddens Road,,Glasgow,G4 0BA,G4 0BA,www.gcu.ac.uk
10002681,GLASGOW SCHOOL OF ART,,,167,Renfrew Street,,Glasgow,G3 6RQ,G3 6RQ,www.gsa.ac.uk
10007833,GLYNDWR UNIVERSITY,,,,Mold Road,,Wrexham,LL11 2AW,LL11 2AW,www.glyndwr.ac.uk
10002718,GOLDSMITHS' COLLEGE,"Goldsmiths College, University of London",,,Lewisham Way,,London,SE14 6NW,SE14 6NW,www.gold.ac.uk
10007825,GUILDHALL SCHOOL OF MUSIC AND DRAMA,,,,SILK STREET BARBICAN,,LONDON,EC2Y 8DT,EC2Y 8DT,www.gsmd.ac.uk
10002901,HARPER ADAMS UNIVERSITY COLLEGE,,,,,Edgmond,Newport,TF10 8NB,TF10 8NB,www.harper-adams.ac.uk
10007764,HERIOT-WATT UNIVERSITY,,,,,Riccarton,Currie,EH14 4AS,EH14 4AS,www.hw.ac.uk
10007765,HEYTHROP COLLEGE,,,23,KENSINGTON SQUARE,,LONDON,W8 5HN,W8 5HN,www.heythrop.ac.uk
10003270,"IMPERIAL COLLEGE OF SCIENCE, TECHNOLOGY AND MEDICINE",Imperial College London,,,,,London,SW7 2AZ,SW7 2AZ,www.imperial.ac.uk
10003324,INSTITUTE OF CANCER RESEARCH: ROYAL CANCER HOSPITAL (THE),,,123,Old Brompton Road,,London,SW7 3RP,SW3 6JB,www.icr.ac.uk
10007766,"INSTITUTE OF EDUCATION, UNIVERSITY OF LONDON",,,20,Bedford Way,,London,WC1H 0AL,WC1H 0AL,www.ioe.ac.uk
10003645,KING'S COLLEGE LONDON,,,,STRAND,,LONDON,WC2R 2LS,WC2R 2LS,www.kcl.ac.uk
10003678,KINGSTON UNIVERSITY,,,River House 53-57,High Street,,Kingston Upon Thames,KT1 1LQ,KT1 1LQ,www.kingston.ac.uk
10003854,LEEDS COLLEGE OF ART,,,,Blenheim Walk,,Leeds,LS2 9AQ,LS2 9AQ,www.leeds-art.ac.uk
10034449,LEEDS COLLEGE OF MUSIC,,,3,QUARRY HILL,,LEEDS,LS2 7PD,LS2 7PD,www.lcm.ac.uk
10003861,LEEDS METROPOLITAN UNIVERSITY,,,THE ROSE BOWL,PORTLAND CRESCENT,,LEEDS,LS1 3HB,LS6 3QS,www.leedsmet.ac.uk
10003863,LEEDS TRINITY UNIVERSITY COLLEGE,,,,Brownberrie Lane,Horsforth,Leeds,LS18 5HD,LS18 5HD,www.leedstrinity.ac.uk
10003956,LIVERPOOL HOPE UNIVERSITY,,,Hope Park,Taggart Avenue,,Liverpool,L16 9JD,L16 9JD,www.hope.ac.uk
10003957,LIVERPOOL JOHN MOORES UNIVERSITY,,,Rodney House 70,Mount Pleasant,,Liverpool,L3 5UX,L3 5UX,www.ljmu.ac.uk
10007769,LONDON BUSINESS SCHOOL,,,,Sussex Place,,London,NW1 4SA,NW1 4SA,www.london.edu
10004048,LONDON METROPOLITAN UNIVERSITY,,,166-220,HOLLOWAY ROAD,,LONDON,N7 8DB,N7 8DB,www.londonmet.ac.uk
10004063,LONDON SCHOOL OF ECONOMICS & POLITICAL SCIENCE,,,,Houghton Street,,London,WC2A 2AE,WC2A 2AE,www.lse.ac.uk
10007771,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE,,,,Keppel Street,,London,WC1E 7HT,WC1E 7HT,www.lshtm.ac.uk
10004078,LONDON SOUTH BANK UNIVERSITY,,,103,Borough Road,,London,SE1 0AA,SE1 0AA,www.lsbu.ac.uk
10004113,LOUGHBOROUGH UNIVERSITY,,,,,,Loughborough,LE11 3TU,LE11 3TU,www.lboro.ac.uk
10004351,MIDDLESEX UNIVERSITY,,,,THE BURROUGHS,,LONDON,NW4 4BT,NW4 4BT,www.mdx.ac.uk
10007832,NEWMAN UNIVERSITY COLLEGE,,,,Genners Lane,,Birmingham,B32 3NT,B32 3NT,www.newman.ac.uk
